
Strat 1, 20 agents, no obs, 20 epoch, selection 10
0,5.4,1.52
1,5.4,2.78
2,5.8,4.08
3,5.4,4.7299999999999995
4,6.2,4.7
5,6.6,5.029999999999999
6,7.0,5.180000000000001
7,6.8,5.8100000000000005
8,7.6,6.199999999999999
9,7.6,6.240000000000001
10,7.6,6.95
11,7.6,6.85
12,7.6,7.029999999999999
13,8.2,7.129999999999998
14,8.4,7.140000000000001
15,8.2,7.4799999999999995
16,8.0,7.340000000000002
17,8.4,7.469999999999999
18,8.2,7.390000000000001
19,8.0,7.519999999999999

strat1, 50 agents, no obs, 20 epoch, selection 10
0,35.8,9.012
1,36.0,20.339999999999996
2,36.0,23.468000000000007
3,36.4,27.384
4,36.2,25.307999999999996
5,36.4,26.38799999999999
6,36.6,29.52
7,36.6,27.007999999999996
8,36.4,26.85600000000001
9,36.2,31.22000000000001
10,36.8,30.420000000000005
11,37.0,32.4
12,37.0,34.58
13,36.8,34.828
14,37.8,34.976
15,37.2,35.032000000000004
16,37.2,35.12000000000001
17,37.2,34.08000000000001
18,39.0,34.976000000000006
19,38.6,34.152

strat3, 20 agents, no obs, 20 epoch, selection 10
0,7.8,2.04
1,8.4,3.8900000000000006
2,8.6,5.339999999999998
3,8.8,6.0200000000000005
4,8.6,6.51
5,8.4,6.659999999999999
6,9.2,6.7
7,8.2,6.579999999999998
8,9.2,7.400000000000001
9,8.6,7.4799999999999995
10,9.4,7.4
11,9.0,7.459999999999999
12,8.8,6.699999999999998
13,11.2,7.2
14,9.8,7.1899999999999995
15,8.8,6.909999999999998
16,9.2,7.359999999999999
17,9.4,7.639999999999999
18,9.6,7.82
19,9.2,6.410000000000001

strat 3, 50 agents, no obs, 20 epoch, selection 10
0,36.8,8.324
1,38.0,22.64
2,40.0,22.587999999999997
3,40.0,27.140000000000004
4,40.6,24.296000000000003
5,40.8,23.048000000000002
6,41.8,25.947999999999997
7,40.6,29.648000000000007
8,41.4,29.2
9,40.8,29.76399999999999
10,41.8,28.052000000000003
11,40.8,32.355999999999995
12,41.4,33.56000000000001
13,40.8,34.36399999999999
14,41.2,33.476000000000006
15,41.0,34.764
16,41.8,36.21600000000001
17,41.4,38.14000000000001
18,42.0,37.91200000000001
19,41.2,39.416000000000004




